Date,No.,Description,Debit,Credit
09/22/22,,POS Debit - Visa Check Card 2076 - WALMARTCOM AA 800-966-6546 A,127.71,
09/22/22,,POS Debit - Visa Check Card 2076 - WALMARTCOM AA 800-966-6546 A,92.95,
09/19/22,,ACH Transaction - PLANET FIT CLUB FEES 0006200001,22.99,
09/16/22,,Transfer to Shares,1000,
09/14/22,,Deposit - TRIZETTO CORPORA,,2400.26
09/12/22,,POS Debit - Visa Check Card 2076 - SAM ASH MUSIC 65 DALLAS TX,395.07,
09/12/22,,POS Debit - Visa Check Card 2076 - CHIPOTLE ONLINE 180-024-4768,24,
09/07/22,,ACH Transaction - Lux on Main WEB PMTS 0002100002,8.07,
09/07/22,,POS Debit - Visa Check Card 2076 - PAYPAL SIMPLEMOBI 402-935-77,27.5,
09/06/22,,POS Debit - Visa Check Card 2076 - PAYPAL UBER EATS 402-935-773,9.25,
09/02/22,,POS Debit - Visa Check Card 2076 - PPINSTACART 402-935-7733 CA,102.98,
09/02/22,,POS Debit - Visa Check Card 2076 - PPINSTACART 402-935-7733 CA,99.13,
09/02/22,,POS Debit - Visa Check Card 2076 - PAYPAL MEDIUMCOM 402-935-77,5,
09/01/22,,POS Debit - Visa Check Card 2076 - PAYPAL RELIANTENE 402-935-77,80.54,
09/01/22,,POS Debit - Visa Check Card 2076 - CHARTER SERVICES 855-707-7328,55.28,
09/01/22,,POS Debit - Visa Check Card 2076 - PAYPAL UBER EATS 402-935-773,20.84,
09/01/22,,POS Debit - Visa Check Card 2076 - PAYPAL HOME DEPOT 402-935-77,9.72,
08/31/22,,Dividend,,0.1
08/31/22,,Federal Tax Withholding,0.02,
08/31/22,,Transfer to Shares,2000,
08/30/22,,Deposit - TRIZETTO CORPORA,,2400.26
08/29/22,,ACH Transaction - Lux on Main WEB PMTS 0002100002,1444,
08/29/22,,POS Debit - Visa Check Card 2076 - CHIPOTLE ONLINE 180-024-4768,27,
08/29/22,,POS Debit - Visa Check Card 2076 - BURGER KING 17197 DALLAS TX,11.99,
08/25/22,,ACH Transaction - STILLWATER INS INS PREM 0008400002,11.94,
08/25/22,,POS Debit - Visa Check Card 2076 - PAYPAL BEDBATHBEY 402-935-77,71.65,
08/25/22,,POS Debit - Visa Check Card 2076 - PAYPAL BEDBATHBEY 402-935-77,11.91,
08/23/22,,POS Debit - Visa Check Card 2076 - PAYPAL GUITARCENT 402-935-77,64.94,
08/22/22,,POS Debit - Visa Check Card 2076 - PAYPAL UBER EATS 402-935-773,23.26,
08/22/22,,POS Debit - Visa Check Card 2076 - PAYPAL UPS US SHI 402-935-77,13.6,
08/22/22,,POS Debit - Visa Check Card 2076 - PAYPAL UBER EATS 402-935-773,8,
08/19/22,,POS Debit - Visa Check Card 2076 - PAYPAL UPS US SHI 402-935-77,22.95,
08/18/22,,POS Debit - Visa Check Card 2076 - PAYPAL UBER EATS 402-935-773,26.4,
08/18/22,,POS Debit - Visa Check Card 2076 - PAYPAL UBER EATS 402-935-773,11,
08/17/22,,ACH Transaction - PLANET FIT CLUB FEES 0006200001,22.99,
08/16/22,,POS Debit - Visa Check Card 2076 - WALMARTCOM AA 800-966-6546 A,141.2,
08/16/22,,POS Debit - Visa Check Card 2076 - WALMARTCOM AA 800-966-6546 A,65.38,
08/16/22,,POS Debit - Visa Check Card 2076 - WALMARTCOM AA 800-966-6546 A,56.83,
08/12/22,,Deposit - TRIZETTO CORPORA,,2400.26
08/08/22,,POS Debit - Visa Check Card 2076 - PAYPAL HOME DEPOT 402-935-77,75.76,
08/08/22,,POS Debit - Visa Check Card 2076 - SPOTIFY 877-778-1161 NY,10.59,
08/08/22,,POS Debit - Visa Check Card 2076 - PAYPAL HOME DEPOT 402-935-77,7.56,
08/08/22,,POS Adjustment - WALMARTCOM AA 8009666546 AR,,19.49
08/05/22,,POS Debit - Visa Check Card 2076 - PPINSTACART 402-935-7733 CA,48.57,
08/05/22,,POS Debit - Visa Check Card 2076 - WALMARTCOM AA 8009666546 AR,31.38,
08/05/22,,POS Debit - Visa Check Card 2076 - WALMARTCOM AA 8009666546 AR,13.99,
08/05/22,,POS Debit - Visa Check Card 2076 - PPINSTACART 402-935-7733 CA,5,
08/04/22,,POS Debit - Visa Check Card 2076 - PAYPAL HOME DEPOT 402-935-77,26.91,
08/04/22,,POS Debit - Visa Check Card 2076 - PAYPAL HOME DEPOT 402-935-77,23.78,
08/03/22,,POS Debit - Visa Check Card 2076 - PPINSTACART 402-935-7733 CA,108.17,
08/03/22,,POS Debit - Visa Check Card 2076 - PAYPAL HOME DEPOT 402-935-77,31.47,
